2.383300018310546875e+02,1.634685668945312500e+02,3.724000167846679688e+01,1.613800048828125000e+02,9.333000183105468750e+01,2.330731353759765625e+02,1.619234313964843750e+02,1.204379272460937500e+03,2.376999969482421875e+02,1.880695343017578125e+02
2.379199981689453125e+02,1.628290863037109375e+02,3.813000106811523438e+01,1.605500030517578125e+02,9.091999816894531250e+01,2.296199188232421875e+02,1.590881042480468750e+02,1.191371093750000000e+03,2.335399932861328125e+02,1.881395263671875000e+02
2.533000030517578125e+02,1.740800323486328125e+02,3.845000076293945312e+01,1.605800018310546875e+02,9.323000335693359375e+01,2.346201019287109375e+02,1.660965423583984375e+02,1.215909912109375000e+03,2.439799957275390625e+02,1.990389251708984375e+02
2.411100006103515625e+02,1.698534393310546875e+02,3.788000106811523438e+01,1.597299957275390625e+02,8.933000183105468750e+01,2.282226409912109375e+02,1.589183654785156250e+02,1.188905273437500000e+03,2.375200042724609375e+02,1.931492462158203125e+02
2.448999938964843750e+02,1.659765472412109375e+02,3.788999938964843750e+01,1.630899963378906250e+02,8.933000183105468750e+01,2.302786102294921875e+02,1.611546936035156250e+02,1.196961669921875000e+03,2.588900146484375000e+02,1.937892150878906250e+02
2.369499969482421875e+02,1.570337371826171875e+02,3.590999984741210938e+01,1.622299957275390625e+02,8.751999664306640625e+01,2.227932739257812500e+02,1.530680084228515625e+02,1.159774047851562500e+03,2.479600067138671875e+02,1.868495941162109375e+02
2.468300018310546875e+02,1.577032012939453125e+02,3.552000045776367188e+01,1.593300018310546875e+02,8.644999694824218750e+01,2.255678405761718750e+02,1.480163116455078125e+02,1.132419921875000000e+03,2.468099975585937500e+02,1.901594085693359375e+02
2.419499969482421875e+02,1.623194885253906250e+02,3.470999908447265625e+01,1.549900054931640625e+02,8.344999694824218750e+01,2.282625732421875000e+02,1.472176361083984375e+02,1.133699951171875000e+03,2.405200042724609375e+02,1.865896148681640625e+02
2.285000000000000000e+02,1.527371978759765625e+02,3.433000183105468750e+01,1.573200073242187500e+02,7.868000030517578125e+01,2.246795806884765625e+02,1.430045776367187500e+02,1.123089965820312500e+03,2.302899932861328125e+02,1.813498992919921875e+02
2.259199981689453125e+02,1.538462982177734375e+02,3.511000061035156250e+01,1.570899963378906250e+02,8.131999969482421875e+01,2.346700134277343750e+02,1.485554351806640625e+02,1.167459960937500000e+03,2.235500030517578125e+02,1.865096130371093750e+02
2.013699951171875000e+02,1.401173400878906250e+02,3.361999893188476562e+01,1.533300018310546875e+02,7.668000030517578125e+01,2.202299957275390625e+02,1.393605651855468750e+02,1.102449951171875000e+03,2.060200042724609375e+02,1.806299438476562500e+02
2.073699951171875000e+02,1.390781707763671875e+02,3.450000000000000000e+01,1.593999938964843750e+02,7.744999694824218750e+01,2.240099945068359375e+02,1.424155273437500000e+02,1.097119995117187500e+03,2.037799987792968750e+02,1.788700408935546875e+02
2.239299926757812500e+02,1.508087310791015625e+02,3.579000091552734375e+01,1.612599945068359375e+02,8.379000091552734375e+01,2.309100036621093750e+02,1.501328430175781250e+02,1.136729980468750000e+03,2.150500030517578125e+02,1.825398406982421875e+02
2.245299987792968750e+02,1.552851409912109375e+02,3.583000183105468750e+01,1.617700042724609375e+02,8.343000030517578125e+01,2.424600067138671875e+02,1.516802825927734375e+02,1.145890014648437500e+03,2.061300048828125000e+02,1.778101043701171875e+02
2.302599945068359375e+02,1.576132812500000000e+02,3.681000137329101562e+01,1.653500061035156250e+02,8.772000122070312500e+01,2.499700012207031250e+02,1.548850097656250000e+02,1.159069946289062500e+03,2.142400054931640625e+02,1.802499542236328125e+02
2.364799957275390625e+02,1.631987762451171875e+02,4.056000137329101562e+01,1.682700042724609375e+02,8.940000152587890625e+01,2.522500000000000000e+02,1.557435913085937500e+02,1.175469970703125000e+03,2.175299987792968750e+02,1.769901428222656250e+02
2.404600067138671875e+02,1.634085998535156250e+02,4.000999832153320312e+01,1.681600036621093750e+02,9.109999847412109375e+01,2.547500000000000000e+02,1.545355834960937500e+02,1.157180053710937500e+03,2.197599945068359375e+02,1.799099884033203125e+02
2.394900054931640625e+02,1.598614654541015625e+02,4.347000122070312500e+01,1.752599945068359375e+02,9.288999938964843750e+01,2.653299865722656250e+02,1.579300079345703125e+02,1.189859985351562500e+03,2.152400054931640625e+02,1.814499053955078125e+02
2.341600036621093750e+02,1.554649963378906250e+02,4.375999832153320312e+01,1.826000061035156250e+02,1.001999969482421875e+02,2.686300048828125000e+02,1.597500000000000000e+02,1.211750000000000000e+03,2.176000061035156250e+02,1.795800018310546875e+02
2.266499938964843750e+02,1.610000000000000000e+02,4.050000000000000000e+01,1.801199951171875000e+02,9.819000244140625000e+01,2.694400024414062500e+02,1.570899963378906250e+02,1.208079956054687500e+03,2.159799957275390625e+02,1.833800048828125000e+02
2.372200012207031250e+02,1.688899993896484375e+02,4.140999984741210938e+01,1.825399932861328125e+02,9.891000366210937500e+01,2.680000000000000000e+02,1.586999969482421875e+02,1.214459960937500000e+03,2.179700012207031250e+02,1.824100036621093750e+02
