Date,MU,WDC,INTC,TXN,MRVL,AMAT,LRCX,KLAC,AMD,NVDA
2025-11-06 00:00:00-05:00,238.3300018310547,163.46856689453125,37.2400016784668,161.3800048828125,93.33000183105469,233.07313537597656,161.92343139648438,1204.3792724609375,237.6999969482422,188.0695343017578
2025-11-07 00:00:00-05:00,237.9199981689453,162.82908630371094,38.130001068115234,160.5500030517578,90.91999816894531,229.6199188232422,159.08810424804688,1191.37109375,233.5399932861328,188.1395263671875
2025-11-10 00:00:00-05:00,253.3000030517578,174.0800323486328,38.45000076293945,160.5800018310547,93.2300033569336,234.62010192871094,166.09654235839844,1215.909912109375,243.97999572753906,199.03892517089844
2025-11-11 00:00:00-05:00,241.11000061035156,169.8534393310547,37.880001068115234,159.72999572753906,89.33000183105469,228.22264099121094,158.91836547851562,1188.9052734375,237.52000427246094,193.1492462158203
2025-11-12 00:00:00-05:00,244.89999389648438,165.97654724121094,37.88999938964844,163.08999633789062,89.33000183105469,230.2786102294922,161.15469360351562,1196.961669921875,258.8900146484375,193.78921508789062
2025-11-13 00:00:00-05:00,236.9499969482422,157.0337371826172,35.90999984741211,162.22999572753906,87.5199966430664,222.79327392578125,153.06800842285156,1159.7740478515625,247.9600067138672,186.84959411621094
2025-11-14 00:00:00-05:00,246.8300018310547,157.7032012939453,35.52000045776367,159.3300018310547,86.44999694824219,225.56784057617188,148.0163116455078,1132.419921875,246.80999755859375,190.15940856933594
2025-11-17 00:00:00-05:00,241.9499969482422,162.31948852539062,34.709999084472656,154.99000549316406,83.44999694824219,228.2625732421875,147.21763610839844,1133.699951171875,240.52000427246094,186.58961486816406
2025-11-18 00:00:00-05:00,228.5,152.73719787597656,34.33000183105469,157.32000732421875,78.68000030517578,224.67958068847656,143.00457763671875,1123.0899658203125,230.2899932861328,181.3498992919922
2025-11-19 00:00:00-05:00,225.9199981689453,153.84629821777344,35.11000061035156,157.08999633789062,81.31999969482422,234.67001342773438,148.55543518066406,1167.4599609375,223.5500030517578,186.50961303710938
2025-11-20 00:00:00-05:00,201.3699951171875,140.11734008789062,33.619998931884766,153.3300018310547,76.68000030517578,220.22999572753906,139.36056518554688,1102.449951171875,206.02000427246094,180.62994384765625
2025-11-21 00:00:00-05:00,207.3699951171875,139.0781707763672,34.5,159.39999389648438,77.44999694824219,224.00999450683594,142.41552734375,1097.1199951171875,203.77999877929688,178.8700408935547
2025-11-24 00:00:00-05:00,223.92999267578125,150.80873107910156,35.790000915527344,161.25999450683594,83.79000091552734,230.91000366210938,150.13284301757812,1136.72998046875,215.0500030517578,182.5398406982422
2025-11-25 00:00:00-05:00,224.52999877929688,155.28514099121094,35.83000183105469,161.77000427246094,83.43000030517578,242.4600067138672,151.68028259277344,1145.8900146484375,206.1300048828125,177.8101043701172
2025-11-26 00:00:00-05:00,230.25999450683594,157.61328125,36.810001373291016,165.35000610351562,87.72000122070312,249.97000122070312,154.885009765625,1159.0699462890625,214.24000549316406,180.2499542236328
2025-11-28 00:00:00-05:00,236.47999572753906,163.1987762451172,40.560001373291016,168.27000427246094,89.4000015258789,252.25,155.74359130859375,1175.469970703125,217.52999877929688,176.99014282226562
2025-12-01 00:00:00-05:00,240.4600067138672,163.40859985351562,40.0099983215332,168.16000366210938,91.0999984741211,254.75,154.53558349609375,1157.1800537109375,219.75999450683594,179.9099884033203
2025-12-02 00:00:00-05:00,239.49000549316406,159.86146545410156,43.470001220703125,175.25999450683594,92.88999938964844,265.3299865722656,157.9300079345703,1189.8599853515625,215.24000549316406,181.4499053955078
2025-12-03 00:00:00-05:00,234.16000366210938,155.46499633789062,43.7599983215332,182.60000610351562,100.19999694824219,268.6300048828125,159.75,1211.75,217.60000610351562,179.5800018310547
2025-12-04 00:00:00-05:00,226.64999389648438,161.0,40.5,180.1199951171875,98.19000244140625,269.44000244140625,157.08999633789062,1208.0799560546875,215.97999572753906,183.3800048828125
2025-12-05 00:00:00-05:00,237.22000122070312,168.88999938964844,41.40999984741211,182.5399932861328,98.91000366210938,268.0,158.6999969482422,1214.4599609375,217.97000122070312,182.41000366210938
