date,rate,day
2024-12-06,84.68379974365234,0
2024-12-09,84.66600036621094,1
2024-12-10,84.84729766845703,2
2024-12-11,84.8740005493164,3
2024-12-12,84.85710144042969,4
2024-12-13,84.83920288085938,5
2024-12-16,84.802001953125,6
2024-12-17,84.91729736328125,7
2024-12-18,84.91539764404297,8
2024-12-19,85.16549682617188,9
2024-12-20,85.27940368652344,10
2024-12-23,84.94499969482422,11
2024-12-24,85.0988998413086,12
2024-12-25,85.18150329589844,13
2024-12-26,85.41339874267578,14
2024-12-27,85.26090240478516,15
2024-12-30,85.38600158691406,16
2024-12-31,85.7865982055664,17
2025-01-02,85.78569793701172,18
2025-01-03,85.80400085449219,19
2025-01-06,85.75900268554688,20
2025-01-07,85.68070220947266,21
2025-01-08,85.80650329589844,22
2025-01-09,85.90750122070312,23
2025-01-10,85.91999816894531,24
2025-01-13,86.18800354003906,25
2025-01-14,86.65059661865234,26
2025-01-15,86.535400390625,27
2025-01-16,86.43099975585938,28
2025-01-17,86.6061019897461,29
2025-01-20,86.56900024414062,30
2025-01-21,86.21109771728516,31
2025-01-22,86.45189666748047,32
2025-01-23,86.47270202636719,33
2025-01-24,86.44020080566406,34
2025-01-27,86.2030029296875,35
2025-01-28,86.46839904785156,36
2025-01-29,86.58460235595703,37
2025-01-30,86.6406021118164,38
2025-01-31,86.64700317382812,39
2025-02-03,86.55400085449219,40
2025-02-04,86.94339752197266,41
2025-02-05,87.13009643554688,42
2025-02-06,87.33409881591797,43
2025-02-07,87.58830261230469,44
2025-02-10,87.51309967041016,45
2025-02-11,87.49009704589844,46
2025-02-12,86.81120300292969,47
2025-02-13,86.8740005493164,48
2025-02-14,86.75409698486328,49
2025-02-17,86.43460083007812,50
2025-02-18,86.85479736328125,51
2025-02-19,86.88719940185547,52
2025-02-20,86.872802734375,53
2025-02-21,86.45120239257812,54
2025-02-24,86.52940368652344,55
2025-02-25,86.69010162353516,56
2025-02-26,87.0811996459961,57
2025-02-27,87.16220092773438,58
2025-02-28,87.3270034790039,59
2025-03-03,87.46399688720703,60
2025-03-04,87.32959747314453,61
2025-03-05,87.21700286865234,62
2025-03-06,86.88929748535156,63
2025-03-07,87.12879943847656,64
2025-03-10,87.07379913330078,65
2025-03-11,87.3551025390625,66
2025-03-12,87.20010375976562,67
2025-03-13,87.3405990600586,68
2025-03-14,86.9220962524414,69
2025-03-17,86.93900299072266,70
2025-03-18,86.91639709472656,71
2025-03-19,86.57610321044922,72
2025-03-20,86.33709716796875,73
2025-03-21,86.33609771728516,74
2025-03-24,85.98699951171875,75
2025-03-25,85.53209686279297,76
2025-03-26,85.59040069580078,77
2025-03-27,86.09539794921875,78
2025-03-28,85.69490051269531,79
2025-03-31,85.53880310058594,80
2025-04-01,85.46810150146484,81
2025-04-02,85.61009979248047,82
2025-04-03,85.65119934082031,83
2025-04-04,85.28289794921875,84
2025-04-07,85.529296875,85
2025-04-08,86.0270004272461,86
2025-04-09,86.435302734375,87
2025-04-10,86.20929718017578,88
2025-04-11,86.2603988647461,89
2025-04-14,86.19300079345703,90
2025-04-15,86.0447998046875,91
2025-04-16,85.72669982910156,92
2025-04-17,85.62049865722656,93
2025-04-22,85.15889739990234,94
2025-04-23,85.2323989868164,95
2025-04-24,85.4999008178711,96
2025-04-25,85.2573013305664,97
2025-04-28,85.38490295410156,98
2025-04-29,85.1603012084961,99
2025-04-30,85.1707992553711,100
2025-05-01,84.53119659423828,101
2025-05-02,84.69670104980469,102
2025-05-05,84.52629852294922,103
2025-05-06,84.2208023071289,104
2025-05-07,84.79319763183594,105
2025-05-08,84.81719970703125,106
2025-05-09,86.08219909667969,107
2025-05-12,85.4083023071289,108
2025-05-13,84.9656982421875,109
2025-05-14,85.060302734375,110
2025-05-15,85.48760223388672,111
2025-05-16,85.44490051269531,112
2025-05-19,85.50029754638672,113
2025-05-20,85.37210083007812,114
